STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,EDUCATION,Education level,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,_T,National,PWD,Persons without disability,_T,All education levels,2021,,7208,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,_T,National,PWD,Persons without disability,0,Early childhood education,2021,,363,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,_T,National,PWD,Persons without disability,1,Primary education,2021,,253,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,_T,National,PWD,Persons without disability,2,Lower secondary education,2021,,1815,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,_T,National,PWD,Persons without disability,3,Upper secondary education,2021,,3119,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,_T,National,PWD,Persons without disability,5-8,Tertiary education,2021,,1457,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,_T,National,PWD,Persons without disability,9,Level not stated,2021,,201,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,_T,All education levels,2021,,7553,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,0,Early childhood education,2021,,404,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,1,Primary education,2021,,271,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,2,Lower secondary education,2021,,1917,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,3,Upper secondary education,2021,,3249,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,5-8,Tertiary education,2021,,1506,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,_T,No breakdown by disability,9,Level not stated,2021,,206,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PD,Persons with disability,_T,All education levels,2021,,345,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PD,Persons with disability,0,Early childhood education,2021,,41,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PD,Persons with disability,1,Primary education,2021,,18,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PD,Persons with disability,2,Lower secondary education,2021,,102,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PD,Persons with disability,3,Upper secondary education,2021,,130,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PD,Persons with disability,5-8,Tertiary education,2021,,49,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PWD,Persons without disability,_T,All education levels,2021,,7208,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PWD,Persons without disability,0,Early childhood education,2021,,363,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PWD,Persons without disability,1,Primary education,2021,,253,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PWD,Persons without disability,2,Lower secondary education,2021,,1815,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PWD,Persons without disability,3,Upper secondary education,2021,,3119,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PWD,Persons without disability,5-8,Tertiary education,2021,,1457,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,_T,All ages,U,Urban,PWD,Persons without disability,9,Level not stated,2021,,201,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,5966,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,318,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2021,,210,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,1523,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,2614,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,1159,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,142,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PD,Persons with disability,_T,All education levels,2021,,175,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PD,Persons with disability,0,Early childhood education,2021,,32,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PD,Persons with disability,1,Primary education,2021,,8,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PD,Persons with disability,2,Lower secondary education,2021,,55,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PD,Persons with disability,3,Upper secondary education,2021,,57,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PD,Persons with disability,5-8,Tertiary education,2021,,21,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,_T,All education levels,2021,,5791,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,0,Early childhood education,2021,,286,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,1,Primary education,2021,,202,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,2,Lower secondary education,2021,,1468,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,3,Upper secondary education,2021,,2557,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,5-8,Tertiary education,2021,,1138,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,PWD,Persons without disability,9,Level not stated,2021,,140,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,_T,All education levels,2021,,5966,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,0,Early childhood education,2021,,318,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,1,Primary education,2021,,210,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,2,Lower secondary education,2021,,1523,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,3,Upper secondary education,2021,,2614,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,5-8,Tertiary education,2021,,1159,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,9,Level not stated,2021,,142,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PD,Persons with disability,_T,All education levels,2021,,175,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PD,Persons with disability,0,Early childhood education,2021,,32,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PD,Persons with disability,1,Primary education,2021,,8,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PD,Persons with disability,2,Lower secondary education,2021,,55,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PD,Persons with disability,3,Upper secondary education,2021,,57,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PD,Persons with disability,5-8,Tertiary education,2021,,21,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PWD,Persons without disability,_T,All education levels,2021,,5791,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PWD,Persons without disability,0,Early childhood education,2021,,286,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PWD,Persons without disability,1,Primary education,2021,,202,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PWD,Persons without disability,2,Lower secondary education,2021,,1468,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PWD,Persons without disability,3,Upper secondary education,2021,,2557,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PWD,Persons without disability,5-8,Tertiary education,2021,,1138,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,U,Urban,PWD,Persons without disability,9,Level not stated,2021,,140,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,991,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,63,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,1,Primary education,2021,,29,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,267,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,406,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,191,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,35,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,_T,All education levels,2021,,73,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,2,Lower secondary education,2021,,27,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,3,Upper secondary education,2021,,29,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,5-8,Tertiary education,2021,,9,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,_T,All education levels,2021,,918,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,0,Early childhood education,2021,,59,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,1,Primary education,2021,,26,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,2,Lower secondary education,2021,,240,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,3,Upper secondary education,2021,,377,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,5-8,Tertiary education,2021,,182,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,9,Level not stated,2021,,34,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,_T,No breakdown by disability,_T,All education levels,2021,,991,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,_T,No breakdown by disability,0,Early childhood education,2021,,63,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,_T,No breakdown by disability,1,Primary education,2021,,29,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,_T,No breakdown by disability,2,Lower secondary education,2021,,267,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,_T,No breakdown by disability,3,Upper secondary education,2021,,406,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,_T,No breakdown by disability,5-8,Tertiary education,2021,,191,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,_T,No breakdown by disability,9,Level not stated,2021,,35,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,PD,Persons with disability,_T,All education levels,2021,,73,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,PD,Persons with disability,2,Lower secondary education,2021,,27,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,PD,Persons with disability,3,Upper secondary education,2021,,29,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,PD,Persons with disability,5-8,Tertiary education,2021,,9,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,PWD,Persons without disability,_T,All education levels,2021,,918,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,U,Urban,PWD,Persons without disability,0,Early childhood education,2021,,59,,N,units,,,,,,,,,,
